gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00020-2_PE.bam
"ADAMTS20"	8
"ADAMTS3"	288
"ADAMTS4"	707
"ADAMTS5"	48
"ADAMTS6"	55
"ADAMTS7"	9
"ADAMTS7P1"	18
"ADAMTS8"	172
"ADAMTS9"	324
"ADAMTS9-AS1"	8
"ADAMTS9-AS2"	64
"ADAMTSL1"	77
"ADAMTSL2"	151
"ADAMTSL3"	235
"ADAMTSL4"	12
"ADAMTSL4-AS1"	5
"ADAMTSL5"	7
"ADAP1"	953
"ADAP2"	40
"ADAR"	5517
"ADARB1"	926
"ADARB2"	1192
"ADARB2-AS1"	31
"ADAT1"	420
"ADAT2"	128
"ADAT3"	25
"ADCK1"	133
"ADCK2"	278
"ADCK5"	47
"ADCY1"	6580
"ADCY10"	26
"ADCY10P1"	233
"ADCY2"	2751
"ADCY3"	618
"ADCY4"	15
"ADCY5"	1403
"ADCY6"	430
"ADCY7"	214
"ADCY8"	318
"ADCY9"	518
"ADCYAP1"	261
"ADCYAP1R1"	2183
"ADD1"	5688
"ADD2"	3041
"ADD3"	5146
"ADD3-AS1"	18
"ADGB"	2
"ADGRA1"	468
"ADGRA1-AS1"	13
"ADGRA2"	108
"ADGRA3"	781
"ADGRB1"	893
"ADGRB2"	2154
"ADGRB3"	5034
"ADGRD1"	18
"ADGRD1-AS1"	0
"ADGRE1"	4
"ADGRE2"	66
"ADGRE3"	0
"ADGRE4P"	19
"ADGRE5"	101
"ADGRF1"	0
"ADGRF2"	2
"ADGRF3"	9
"ADGRF4"	2
"ADGRF5"	589
"ADGRG1"	1130
"ADGRG2"	3
"ADGRG3"	1
"ADGRG4"	2
"ADGRG5"	7
"ADGRG6"	88
"ADGRG7"	0
"ADGRL1"	3431
"ADGRL2"	2275
"ADGRL3"	4667
"ADGRL3-AS1"	0
"ADGRL4"	150
"ADGRV1"	4495
"ADH1A"	1
"ADH1B"	12
"ADH1C"	1
"ADH4"	0
"ADH5"	1029
"ADH6"	0
"ADH7"	0
"ADHFE1"	354
"ADI1"	447
"ADIG"	0
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	838
"ADIPOR2"	2631
"ADIRF"	93
"ADK"	369
"ADM"	54
"ADM2"	0
"ADM5"	8
"ADNP"	2151
"ADNP-AS1"	11
"ADNP2"	663
"ADO"	894
"ADORA1"	638
"ADORA2A"	5
"ADORA2A-AS1"	0
"ADORA2B"	28
"ADORA3"	57
"ADPGK"	270
"ADPGK-AS1"	6
"ADPRH"	41
"ADPRHL1"	71
"ADPRHL2"	108
"ADPRM"	88
"ADRA1A"	429
"ADRA1B"	112
"ADRA1D"	30
"ADRA2A"	149
"ADRA2B"	1
"ADRA2C"	26
"ADRB1"	236
"ADRB2"	49
"ADRB3"	3
"ADRM1"	323
"ADSL"	218
"ADSS"	1182
"ADSSL1"	73
"ADTRP"	76
"AEBP1"	324
"AEBP2"	1255
"AEN"	65
"AES"	2611
"AFAP1"	706
"AFAP1-AS1"	23
"AFAP1L1"	40
"AFAP1L2"	334
"AFDN"	3000
"AFDN-DT"	25
"AFF1"	1538
"AFF1-AS1"	79
"AFF2"	899
"AFF3"	1520
"AFF4"	4859
"AFG1L"	242
"AFG3L1P"	162
"AFG3L2"	918
"AFM"	1
"AFMID"	257
"AFP"	3
"AFTPH"	1458
"AGA"	133
"AGAP1"	5206
"AGAP1-IT1"	25
"AGAP11"	30
"AGAP12P"	70
"AGAP2"	3780
"AGAP2-AS1"	6
"AGAP3"	1676
"AGAP4"	255
"AGAP5"	90
"AGAP6"	190
"AGAP7P"	7
"AGAP9"	105
"AGBL1"	13
"AGBL1-AS1"	0
"AGBL2"	10
"AGBL3"	105
"AGBL4"	285
"AGBL4-IT1"	71
"AGBL5"	172
"AGBL5-AS1"	1
"AGER"	12
"AGFG1"	3019
"AGFG2"	301
"AGGF1"	1112
"AGK"	687
"AGL"	1434
"AGMAT"	33
"AGMO"	32
"AGO1"	1451
"AGO2"	2268
"AGO3"	820
"AGO4"	815
"AGPAT1"	787
"AGPAT2"	44
"AGPAT3"	2001
"AGPAT4"	1866
"AGPAT4-IT1"	63
"AGPAT5"	860
"AGPS"	1418
"AGR2"	0
"AGR3"	0
"AGRN"	764
"AGRP"	0
"AGT"	1156
"AGTPBP1"	4392
"AGTR1"	0
"AGTR2"	1
"AGTRAP"	44
"AGXT"	1
"AGXT2"	0
"AHCTF1"	2580
"AHCTF1P1"	16
"AHCY"	455
"AHCYL1"	5498
"AHCYL2"	1904
"AHDC1"	897
"AHI1"	2790
"AHNAK"	7164
"AHNAK2"	2009
"AHR"	775
"AHRR"	84
"AHSA1"	932
"AHSA2P"	585
"AHSG"	4
"AHSP"	0
"AICDA"	0
"AIDA"	934
"AIF1"	48
"AIF1L"	2024
"AIFM1"	249
"AIFM2"	84
"AIFM3"	384
"AIG1"	667
"AIM2"	6
"AIMP1"	481
"AIMP2"	86
"AIP"	243
"AIPL1"	0
"AIRE"	9
"AIRN"	8
"AJAP1"	664
"AJM1"	501
"AJUBA"	7
"AK1"	317
"AK2"	708
"AK3"	943
"AK4"	1504
"AK5"	6063
"AK6"	226
"AK7"	56
"AK8"	17
"AK9"	485
"AKAIN1"	19
"AKAP1"	683
"AKAP10"	1014
"AKAP11"	13723
"AKAP12"	5146
"AKAP13"	1437
"AKAP14"	2
"AKAP17A"	107
"AKAP2"	828
"AKAP3"	31
"AKAP4"	0
"AKAP5"	1318
"AKAP6"	9878
"AKAP7"	423
"AKAP8"	272
"AKAP8L"	534
"AKAP9"	5286
"AKIP1"	85
"AKIRIN1"	1143
"AKIRIN2"	561
"AKNA"	242
"AKNAD1"	4
"AKR1A1"	214
"AKR1B1"	566
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	103
"AKR1C2"	34
"AKR1C3"	55
"AKR1C4"	1
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	1
"AKR1E2"	111
"AKR7A2"	385
"AKR7A2P1"	4
"AKR7A3"	16
"AKR7L"	14
"AKT1"	596
"AKT1S1"	236
"AKT2"	507
"AKT3"	7207
"AKTIP"	1039
"ALAD"	949
"ALAS1"	482
"ALAS2"	7
"ALB"	130
"ALCAM"	3661
"ALDH16A1"	73
"ALDH18A1"	329
"ALDH1A1"	530
"ALDH1A2"	49
"ALDH1A3"	132
"ALDH1B1"	138
"ALDH1L1"	481
"ALDH1L1-AS1"	0
"ALDH1L1-AS2"	30
"ALDH1L2"	339
"ALDH2"	1731
"ALDH3A1"	1
"ALDH3A2"	1081
"ALDH3B1"	20
"ALDH3B2"	0
"ALDH4A1"	460
"ALDH5A1"	1797
"ALDH6A1"	2763
"ALDH7A1"	1299
"ALDH8A1"	77
"ALDH9A1"	732
"ALDOA"	6874
"ALDOB"	8
"ALDOC"	4601
"ALG1"	127
"ALG10"	187
"ALG10B"	583
"ALG11"	293
"ALG12"	119
"ALG13"	981
"ALG14"	94
"ALG1L"	10
"ALG1L2"	4
"ALG1L9P"	70
"ALG2"	259
"ALG3"	76
"ALG5"	187
"ALG6"	185
"ALG8"	223
"ALG9"	604
"ALK"	115
"ALKAL1"	1
"ALKAL2"	3
"ALKBH1"	136
"ALKBH2"	65
"ALKBH3"	200
"ALKBH3-AS1"	0
"ALKBH4"	94
"ALKBH5"	1501
"ALKBH6"	129
"ALKBH7"	108
"ALKBH8"	288
"ALLC"	1
"ALMS1"	3100
"ALMS1-IT1"	61
"ALMS1P1"	33
"ALOX12"	0
"ALOX12-AS1"	52
"ALOX12B"	15
"ALOX12P2"	53
"ALOX15"	3
"ALOX15B"	11
"ALOX15P1"	16
"ALOX5"	38
"ALOX5AP"	35
"ALOXE3"	22
"ALPI"	0
"ALPK1"	105
"ALPK2"	2
"ALPK3"	107
"ALPL"	130
"ALPP"	0
"ALPPL2"	0
"ALS2"	1783
"ALS2CL"	67
"ALS2CR12"	143
"ALX1"	0
"ALX3"	4
"ALX4"	0
"ALYREF"	147
"AMACR"	162
"AMBN"	0
"AMBP"	7
"AMBRA1"	671
"AMD1"	2846
"AMDHD1"	10
"AMDHD2"	110
"AMELX"	0
"AMELY"	0
"AMER1"	237
"AMER2"	10720
"AMER3"	582
"AMFR"	1657
"AMH"	14
"AMHR2"	0
"AMIGO1"	1083
"AMIGO2"	103
"AMIGO3"	8
"AMMECR1"	205
"AMMECR1L"	280
"AMN"	2
"AMN1"	681
"AMOT"	1545
"AMOTL1"	778
"AMOTL2"	1090
"AMPD1"	0
"AMPD2"	653
"AMPD3"	612
"AMPH"	2140
"AMT"	55
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	31
"AMY2B"	744
"AMZ1"	138
"AMZ2"	885
"AMZ2P1"	338
"ANAPC1"	1437
"ANAPC10"	202
"ANAPC11"	125
"ANAPC13"	397
"ANAPC15"	120
"ANAPC16"	360
"ANAPC1P1"	1
"ANAPC2"	245
"ANAPC4"	728
"ANAPC5"	1485
"ANAPC7"	700
"ANG"	7
"ANGEL1"	610
"ANGEL2"	1034
"ANGPT1"	82
"ANGPT2"	110
"ANGPT4"	2
"ANGPTL1"	48
"ANGPTL2"	149
"ANGPTL3"	0
"ANGPTL4"	136
"ANGPTL5"	2
"ANGPTL6"	6
"ANGPTL7"	1
"ANGPTL8"	0
"ANHX"	0
"ANK1"	318
"ANK2"	28248
"ANK3"	16235
"ANKAR"	361
"ANKDD1A"	301
"ANKDD1B"	17
"ANKEF1"	37
"ANKFN1"	40
"ANKFY1"	1668
"ANKH"	2558
"ANKHD1"	1171
"ANKHD1-EIF4EBP3"	1126
"ANKIB1"	3304
"ANKK1"	2
"ANKLE1"	8
"ANKLE2"	668
"ANKMY1"	126
"ANKMY2"	722
"ANKRA2"	201
"ANKRD1"	2
"ANKRD10"	1129
"ANKRD11"	2359
"ANKRD12"	6248
"ANKRD13A"	615
"ANKRD13B"	275
"ANKRD13C"	1244
"ANKRD13D"	231
"ANKRD16"	206
"ANKRD17"	5315
"ANKRD18A"	292
"ANKRD18B"	186
"ANKRD18CP"	408
"ANKRD18DP"	44
"ANKRD19P"	190
"ANKRD2"	23
"ANKRD20A1"	103
"ANKRD20A11P"	6
"ANKRD20A12P"	32
"ANKRD20A19P"	3
"ANKRD20A2"	124
"ANKRD20A3"	321
"ANKRD20A4"	91
"ANKRD20A4-ANKRD20A20P"	483
"ANKRD20A5P"	126
"ANKRD20A8P"	31
"ANKRD20A9P"	4
"ANKRD22"	21
"ANKRD23"	87
"ANKRD24"	453
"ANKRD26"	1639
"ANKRD26P1"	0
"ANKRD26P3"	113
"ANKRD27"	547
"ANKRD28"	1891
"ANKRD29"	201
"ANKRD30A"	2
"ANKRD30B"	246
"ANKRD30BL"	201
"ANKRD30BP2"	1
"ANKRD30BP3"	0
"ANKRD31"	48
"ANKRD33"	0
"ANKRD33B"	1331
"ANKRD34A"	369
"ANKRD34B"	21
"ANKRD34C"	178
"ANKRD34C-AS1"	26
"ANKRD35"	104
"ANKRD36"	3869
"ANKRD36B"	2614
"ANKRD36BP1"	1
"ANKRD36BP2"	276
"ANKRD36C"	4031
"ANKRD37"	45
"ANKRD39"	83
"ANKRD40"	3150
"ANKRD42"	563
"ANKRD44"	665
"ANKRD44-IT1"	55
"ANKRD45"	116
"ANKRD46"	1319
"ANKRD49"	178
"ANKRD50"	1067
"ANKRD52"	1113
"ANKRD53"	2
"ANKRD54"	190
"ANKRD55"	65
"ANKRD6"	512
"ANKRD60"	0
"ANKRD61"	0
"ANKRD62"	101
"ANKRD62P1-PARP4P3"	4
"ANKRD63"	26
"ANKRD65"	190
"ANKRD66"	4
"ANKRD7"	46
"ANKRD9"	276
"ANKS1A"	544
"ANKS1B"	4671
"ANKS3"	118
"ANKS4B"	0
"ANKS6"	345
"ANKUB1"	2
"ANKZF1"	218
"ANLN"	6237
"ANO1"	19
"ANO1-AS2"	0
"ANO10"	377
"ANO2"	45
"ANO3"	1224
"ANO4"	996
"ANO5"	1899
"ANO6"	476
"ANO7"	13
"ANO8"	350
"ANO9"	0
"ANOS1"	702
"ANP32A"	1343
"ANP32A-IT1"	55
"ANP32AP1"	1
"ANP32B"	1272
"ANP32C"	42
"ANP32D"	5
"ANP32E"	1546
"ANPEP"	4
"ANTXR1"	954
"ANTXR2"	88
"ANTXRL"	2
"ANTXRLP1"	0
"ANXA1"	117
"ANXA10"	0
"ANXA11"	866
"ANXA13"	3
"ANXA2"	139
"ANXA2P1"	0
"ANXA2P2"	0
"ANXA2P3"	17
"ANXA2R"	8
"ANXA3"	125
"ANXA4"	323
"ANXA5"	867
"ANXA6"	2820
"ANXA7"	1367
"ANXA8"	0
"ANXA8L1"	0
"ANXA9"	3
"AOAH"	101
"AOAH-IT1"	3
"AOC1"	0
"AOC2"	35
"AOC3"	8
"AOC4P"	1
"AOX1"	21
"AOX3P-AOX2P"	2
"AP1AR"	554
"AP1B1"	1208
"AP1B1P1"	0
"AP1G1"	2371
"AP1G2"	204
"AP1M1"	663
"AP1M2"	1
"AP1S1"	455
"AP1S2"	708
"AP1S3"	67
"AP2A1"	1618
"AP2A2"	1392
"AP2B1"	7367
"AP2M1"	3437
"AP2S1"	388
"AP3B1"	808
"AP3B2"	1361
"AP3D1"	1836
"AP3M1"	636
"AP3M2"	1503
"AP3S1"	719
"AP3S2"	513
"AP4B1"	362
"AP4B1-AS1"	3
"AP4E1"	414
"AP4M1"	84
"AP4S1"	481
"AP5B1"	387
"AP5M1"	1213
"AP5S1"	81
"AP5Z1"	139
"APAF1"	388
"APBA1"	2915
"APBA2"	2440
"APBA3"	75
"APBB1"	3176
"APBB1IP"	136
"APBB2"	2929
"APBB3"	230
"APC"	11142
"APC2"	3133
"APCDD1"	529
"APCDD1L"	0
"APCDD1L-AS1"	3
"APCS"	2
"APEH"	464
"APELA"	2
"APEX1"	490
"APEX2"	96
"APH1A"	339
"APH1B"	631
"API5"	2188
"APIP"	262
"APLF"	279
"APLN"	256
"APLNR"	510
"APLP1"	8476
"APLP2"	6705
"APMAP"	997
"APOA1"	7
"APOA1-AS"	1
"APOA2"	6
"APOA4"	0
"APOA5"	1
"APOB"	94
"APOBEC1"	0
"APOBEC2"	0
"APOBEC3A"	2
"APOBEC3A_B"	2
"APOBEC3B"	0
"APOBEC3B-AS1"	0
"APOBEC3C"	13
"APOBEC3D"	2
"APOBEC3F"	14
"APOBEC3G"	10
"APOBEC3H"	1
"APOBEC4"	0
"APOBR"	17
"APOC1"	54
"APOC1P1"	0
"APOC2"	13
"APOC3"	9
"APOC4"	0
"APOC4-APOC2"	13
"APOD"	2433
"APOE"	2944
"APOF"	1
"APOH"	11
"APOL1"	27
"APOL2"	645
"APOL3"	24
"APOL4"	3
"APOL5"	1
"APOL6"	260
"APOLD1"	1602
"APOM"	9
"APOO"	254
"APOOL"	808
"APOOP5"	0
"APOPT1"	178
"APP"	22241
"APPBP2"	2183
"APPL1"	2100
"APPL2"	675
"APRT"	75
"APTR"	38
"APTX"	352
"AQP1"	1332
"AQP10"	1
"AQP11"	72
"AQP12A"	0
"AQP12B"	0
"AQP2"	0
"AQP3"	4
"AQP4"	13461
"AQP4-AS1"	106
"AQP5"	7
"AQP6"	22
"AQP7"	3
"AQP7P1"	16
"AQP7P3"	7
"AQP8"	2
"AQP9"	56
"AQR"	1239
"AR"	70
"ARAF"	168
"ARAP1"	554
"ARAP1-AS2"	0
"ARAP2"	7349
"ARAP3"	97
"ARC"	94
"ARCN1"	1805
"AREG"	0
"AREL1"	851
"ARF1"	2645
"ARF3"	5400
"ARF4"	703
"ARF4-AS1"	15
"ARF5"	654
"ARF6"	677
"ARFGAP1"	486
"ARFGAP2"	899
"ARFGAP3"	461
"ARFGEF1"	2363
"ARFGEF2"	3121
"ARFGEF3"	7880
"ARFIP1"	475
"ARFIP2"	397
"ARFRP1"	210
"ARG1"	5
"ARG2"	102
"ARGFX"	0
"ARGFXP2"	0
"ARGLU1"	1857
"ARHGAP1"	877
"ARHGAP10"	214
"ARHGAP11A"	64
"ARHGAP11B"	20
"ARHGAP12"	1346
"ARHGAP15"	40
"ARHGAP17"	394
"ARHGAP18"	146
"ARHGAP19"	218
"ARHGAP19-SLIT1"	149
"ARHGAP20"	998
"ARHGAP21"	12519
"ARHGAP22"	272
"ARHGAP22-IT1"	9
"ARHGAP23"	2640
"ARHGAP24"	183
"ARHGAP25"	95
"ARHGAP26"	4313
"ARHGAP26-AS1"	0
"ARHGAP26-IT1"	60
"ARHGAP27"	94
"ARHGAP27P1"	85
"ARHGAP27P1-BPTFP1-KPNA2P3"	248
"ARHGAP27P2"	7
"ARHGAP28"	92
"ARHGAP29"	786
"ARHGAP30"	43
"ARHGAP31"	495
"ARHGAP31-AS1"	2
"ARHGAP32"	7661
"ARHGAP33"	426
"ARHGAP35"	4534
"ARHGAP36"	11
"ARHGAP39"	398
"ARHGAP4"	77
"ARHGAP40"	4
"ARHGAP42"	322
"ARHGAP44"	1072
"ARHGAP45"	57
"ARHGAP5"	11177
"ARHGAP5-AS1"	45
"ARHGAP6"	92
"ARHGAP8"	6
"ARHGAP9"	43
"ARHGDIA"	1276
"ARHGDIB"	123
"ARHGDIG"	400
"ARHGEF1"	197
"ARHGEF10"	953
"ARHGEF10L"	327
"ARHGEF11"	1835
"ARHGEF12"	7867
"ARHGEF15"	13
"ARHGEF16"	9
"ARHGEF17"	1135
"ARHGEF18"	603
"ARHGEF19"	1
"ARHGEF2"	1950
"ARHGEF25"	907
"ARHGEF26"	477
"ARHGEF26-AS1"	142
"ARHGEF28"	480
"ARHGEF3"	1156
"ARHGEF3-AS1"	0
"ARHGEF33"	104
"ARHGEF34P"	6
"ARHGEF35"	1
"ARHGEF37"	658
"ARHGEF38"	0
"ARHGEF38-IT1"	0
"ARHGEF39"	1
"ARHGEF4"	1422
"ARHGEF40"	338
"ARHGEF5"	9
"ARHGEF6"	776
"ARHGEF7"	3931
"ARHGEF7-AS1"	0
"ARHGEF7-AS2"	14
"ARHGEF9"	4290
"ARHGEF9-IT1"	33
"ARID1A"	2038
"ARID1B"	1894
"ARID2"	1154
"ARID3A"	33
"ARID3B"	45
"ARID3C"	6
"ARID4A"	1712
"ARID4B"	2251
"ARID5A"	130
"ARID5B"	2617
"ARIH1"	2092
"ARIH2"	1121
"ARIH2OS"	16
"ARL1"	1667
"ARL10"	325
"ARL11"	8
"ARL13A"	0
"ARL13B"	276
"ARL14"	0
"ARL14EP"	724
"ARL14EPL"	0
"ARL15"	403
"ARL16"	132
"ARL17A"	415
"ARL17B"	143
"ARL2"	274
"ARL2-SNX15"	253
"ARL2BP"	621
"ARL3"	684
"ARL4A"	478
"ARL4C"	940
"ARL4D"	72
"ARL5A"	1028
"ARL5B"	1199
"ARL5C"	1
"ARL6"	708
"ARL6IP1"	6671
"ARL6IP4"	591
"ARL6IP5"	2250
"ARL6IP6"	192
"ARL8A"	1135
"ARL8B"	2919
"ARL9"	5
"ARMC1"	1133
"ARMC10"	592
"ARMC12"	5
"ARMC2"	332
"ARMC2-AS1"	1
"ARMC3"	44
"ARMC4"	19
"ARMC4P1"	18
"ARMC5"	129
"ARMC6"	208
"ARMC7"	63
"ARMC8"	1268
"ARMC9"	444
"ARMCX1"	389
"ARMCX2"	590
"ARMCX3"	1931
"ARMCX4"	1114
"ARMCX5"	311
"ARMCX5-GPRASP2"	1816
"ARMCX6"	119
"ARMS2"	1
"ARMT1"	323
"ARNT"	652
"ARNT2"	7038
"ARNTL"	689
"ARNTL2"	589
"ARNTL2-AS1"	0
"ARPC1A"	812
"ARPC1B"	52
"ARPC2"	1198
"ARPC3"	825
"ARPC4"	531
"ARPC4-TTLL3"	307
"ARPC5"	900
"ARPC5L"	401
"ARPIN"	476
"ARPP19"	9389
"ARPP21"	3242
"ARR3"	0
"ARRB1"	2967
"ARRB2"	401
"ARRDC1"	64
"ARRDC1-AS1"	94
"ARRDC2"	1005
"ARRDC3"	1215
"ARRDC3-AS1"	27
"ARRDC4"	743
"ARRDC5"	5
"ARSA"	217
"ARSB"	409
"ARSD"	118
"ARSD-AS1"	4
"ARSE"	15
"ARSF"	24
"ARSG"	170
"ARSH"	0
"ARSI"	24
"ARSJ"	140
"ARSK"	156
"ART1"	0
"ART3"	120
"ART4"	0
"ART5"	0
"ARTN"	4
"ARV1"	265
"ARVCF"	212
"ARX"	128
"AS-PTPRE"	0
"AS3MT"	57
"ASAH1"	1498
"ASAH2"	27
"ASAH2B"	178
"ASAP1"	2117
"ASAP1-IT1"	27
"ASAP1-IT2"	34
"ASAP2"	1147
"ASAP3"	184
"ASB1"	1057
"ASB10"	0
"ASB11"	0
"ASB12"	2
"ASB13"	239
"ASB14"	3
"ASB15"	0
"ASB16"	2
"ASB16-AS1"	31
"ASB17"	0
"ASB18"	5
"ASB2"	53
"ASB3"	402
"ASB4"	44
"ASB5"	12
"ASB6"	276
"ASB7"	362
"ASB8"	473
"ASB9"	0
"ASB9P1"	0
"ASCC1"	402
"ASCC2"	239
"ASCC3"	1466
"ASCL1"	118
"ASCL2"	0
"ASCL3"	0
"ASCL4"	0
"ASCL5"	1
"ASDURF"	158
"ASF1A"	381
"ASF1B"	4
"ASGR1"	31
