gene/TE	../../STAR_v252_mapping/CGND_12795/HRA-00089-2_PE.bam
"ACKR2"	54
"ACKR3"	87
"ACKR4"	1
"ACLY"	2602
"ACMSD"	0
"ACO1"	1025
"ACO2"	4490
"ACOD1"	0
"ACOT1"	92
"ACOT11"	382
"ACOT12"	11
"ACOT13"	561
"ACOT2"	221
"ACOT4"	35
"ACOT6"	1
"ACOT7"	1230
"ACOT8"	277
"ACOT9"	443
"ACOX1"	2540
"ACOX2"	36
"ACOX3"	610
"ACOXL"	0
"ACOXL-AS1"	6
"ACP1"	1146
"ACP2"	474
"ACP4"	0
"ACP5"	11
"ACP6"	189
"ACP7"	233
"ACPP"	53
"ACR"	5
"ACRBP"	27
"ACRV1"	7
"ACSBG1"	921
"ACSBG2"	5
"ACSF2"	122
"ACSF3"	332
"ACSL1"	4351
"ACSL3"	6583
"ACSL4"	2654
"ACSL5"	329
"ACSL6"	3951
"ACSM1"	6
"ACSM2A"	0
"ACSM2B"	1
"ACSM3"	1
"ACSM4"	0
"ACSM5"	41
"ACSM6"	0
"ACSS1"	1020
"ACSS2"	1085
"ACSS3"	471
"ACTA1"	3
"ACTA2"	86
"ACTA2-AS1"	191
"ACTB"	36653
"ACTBL2"	0
"ACTC1"	22
"ACTG1"	14727
"ACTG1P17"	18
"ACTG1P20"	73
"ACTG1P4"	171
"ACTG2"	5
"ACTL10"	4
"ACTL6A"	346
"ACTL6B"	292
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	3
"ACTL9"	0
"ACTN1"	2114
"ACTN1-AS1"	2
"ACTN2"	3085
"ACTN3"	3
"ACTN4"	5318
"ACTR10"	875
"ACTR1A"	3139
"ACTR1B"	1413
"ACTR2"	8226
"ACTR3"	3294
"ACTR3B"	824
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	225
"ACTR5"	251
"ACTR6"	927
"ACTR8"	902
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	41
"ACVR1"	543
"ACVR1B"	1379
"ACVR1C"	1013
"ACVR2A"	1025
"ACVR2B"	1549
"ACVR2B-AS1"	12
"ACVRL1"	290
"ACY1"	58
"ACY3"	7
"ACYP1"	313
"ACYP2"	770
"ADA"	283
"ADA2"	337
"ADAD1"	0
"ADAD2"	3
"ADAL"	320
"ADAM10"	4270
"ADAM11"	840
"ADAM12"	264
"ADAM15"	933
"ADAM17"	1136
"ADAM18"	1
"ADAM19"	479
"ADAM1A"	155
"ADAM2"	0
"ADAM20"	262
"ADAM20P1"	190
"ADAM21"	25
"ADAM21P1"	0
"ADAM22"	7129
"ADAM23"	3600
"ADAM28"	513
"ADAM29"	7
"ADAM30"	0
"ADAM32"	296
"ADAM33"	32
"ADAM3A"	0
"ADAM3B"	7
"ADAM5"	8
"ADAM6"	0
"ADAM7"	0
"ADAM8"	48
"ADAM9"	2196
"ADAMDEC1"	0
"ADAMTS1"	1874
"ADAMTS10"	217
"ADAMTS12"	44
"ADAMTS13"	259
"ADAMTS14"	250
"ADAMTS15"	22
"ADAMTS16"	64
"ADAMTS17"	117
"ADAMTS18"	7
"ADAMTS19"	262
"ADAMTS19-AS1"	13
"ADAMTS2"	128
"ADAMTS20"	10
"ADAMTS3"	224
"ADAMTS4"	3422
"ADAMTS5"	91
"ADAMTS6"	78
"ADAMTS7"	39
"ADAMTS7P1"	31
"ADAMTS8"	279
"ADAMTS9"	1315
"ADAMTS9-AS1"	12
"ADAMTS9-AS2"	149
"ADAMTSL1"	86
"ADAMTSL2"	315
"ADAMTSL3"	687
"ADAMTSL4"	57
"ADAMTSL4-AS1"	21
"ADAMTSL5"	24
"ADAP1"	1821
"ADAP2"	285
"ADAR"	8400
"ADARB1"	1267
"ADARB2"	2905
"ADARB2-AS1"	12
"ADAT1"	1015
"ADAT2"	213
"ADAT3"	84
"ADCK1"	245
"ADCK2"	566
"ADCK5"	68
"ADCY1"	8773
"ADCY10"	67
"ADCY10P1"	648
"ADCY2"	3069
"ADCY3"	1335
"ADCY4"	57
"ADCY5"	2998
"ADCY6"	752
"ADCY7"	586
"ADCY8"	456
"ADCY9"	857
"ADCYAP1"	153
"ADCYAP1R1"	2587
"ADD1"	8855
"ADD2"	3012
"ADD3"	8809
"ADD3-AS1"	32
"ADGB"	1
"ADGRA1"	544
"ADGRA1-AS1"	10
"ADGRA2"	192
"ADGRA3"	996
"ADGRB1"	1131
"ADGRB2"	2498
"ADGRB3"	6015
"ADGRD1"	114
"ADGRD1-AS1"	0
"ADGRE1"	26
"ADGRE2"	458
"ADGRE3"	1
"ADGRE4P"	22
"ADGRE5"	349
"ADGRF1"	0
"ADGRF2"	0
"ADGRF3"	18
"ADGRF4"	1
"ADGRF5"	943
"ADGRG1"	2579
"ADGRG2"	2
"ADGRG3"	3
"ADGRG4"	1
"ADGRG5"	26
"ADGRG6"	258
"ADGRG7"	0
"ADGRL1"	4367
"ADGRL2"	2563
"ADGRL3"	5127
"ADGRL3-AS1"	0
"ADGRL4"	235
"ADGRV1"	5199
"ADH1A"	1
"ADH1B"	27
"ADH1C"	2
"ADH4"	1
"ADH5"	879
"ADH6"	1
"ADH7"	0
"ADHFE1"	496
"ADI1"	839
"ADIG"	1
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	1552
"ADIPOR2"	6704
"ADIRF"	167
"ADK"	510
"ADM"	377
"ADM2"	2
"ADM5"	16
"ADNP"	3536
"ADNP-AS1"	21
"ADNP2"	1048
"ADO"	1856
"ADORA1"	1616
"ADORA2A"	35
"ADORA2A-AS1"	1
"ADORA2B"	101
"ADORA3"	126
"ADPGK"	613
"ADPGK-AS1"	12
"ADPRH"	109
"ADPRHL1"	105
"ADPRHL2"	303
"ADPRM"	145
"ADRA1A"	572
"ADRA1B"	132
"ADRA1D"	43
"ADRA2A"	173
"ADRA2B"	24
"ADRA2C"	65
"ADRB1"	317
"ADRB2"	68
"ADRB3"	4
"ADRM1"	553
"ADSL"	346
"ADSS"	2238
"ADSSL1"	158
"ADTRP"	49
"AEBP1"	575
"AEBP2"	1580
"AEN"	175
"AES"	3987
"AFAP1"	897
"AFAP1-AS1"	27
"AFAP1L1"	82
"AFAP1L2"	560
"AFDN"	5010
"AFDN-DT"	44
"AFF1"	2833
"AFF1-AS1"	157
"AFF2"	974
"AFF3"	2118
"AFF4"	8027
"AFG1L"	469
"AFG3L1P"	416
"AFG3L2"	1506
"AFM"	0
"AFMID"	975
"AFP"	1
"AFTPH"	2068
"AGA"	267
"AGAP1"	9681
"AGAP1-IT1"	53
"AGAP11"	60
"AGAP12P"	34
"AGAP2"	3947
"AGAP2-AS1"	30
"AGAP3"	2370
"AGAP4"	374
"AGAP5"	170
"AGAP6"	306
"AGAP7P"	20
"AGAP9"	219
"AGBL1"	15
"AGBL1-AS1"	0
"AGBL2"	4
"AGBL3"	167
"AGBL4"	325
"AGBL4-IT1"	72
"AGBL5"	314
"AGBL5-AS1"	2
"AGER"	29
"AGFG1"	4223
"AGFG2"	504
"AGGF1"	1858
"AGK"	858
"AGL"	1785
"AGMAT"	68
"AGMO"	46
"AGO1"	2348
"AGO2"	5317
"AGO3"	1539
"AGO4"	1306
"AGPAT1"	1404
"AGPAT2"	78
"AGPAT3"	3173
"AGPAT4"	4217
"AGPAT4-IT1"	279
"AGPAT5"	1603
"AGPS"	3016
"AGR2"	0
"AGR3"	1
"AGRN"	1679
"AGRP"	2
"AGT"	1904
"AGTPBP1"	8569
"AGTR1"	5
"AGTR2"	0
"AGTRAP"	174
"AGXT"	3
"AGXT2"	0
"AHCTF1"	3863
"AHCTF1P1"	17
"AHCY"	869
"AHCYL1"	8841
"AHCYL2"	2331
"AHDC1"	1236
"AHI1"	3656
"AHNAK"	13686
"AHNAK2"	2819
"AHR"	1981
"AHRR"	146
"AHSA1"	1954
"AHSA2P"	1721
"AHSG"	7
"AHSP"	0
"AICDA"	1
"AIDA"	1511
"AIF1"	355
"AIF1L"	6800
"AIFM1"	463
"AIFM2"	148
"AIFM3"	512
"AIG1"	1230
"AIM2"	8
"AIMP1"	873
"AIMP2"	177
"AIP"	491
"AIPL1"	1
"AIRE"	26
"AIRN"	11
"AJAP1"	721
"AJM1"	590
"AJUBA"	29
"AK1"	509
"AK2"	1702
"AK3"	2075
"AK4"	2186
"AK5"	8061
"AK6"	306
"AK7"	175
"AK8"	35
"AK9"	839
"AKAIN1"	27
"AKAP1"	1195
"AKAP10"	1770
"AKAP11"	18572
"AKAP12"	7509
"AKAP13"	2337
"AKAP14"	3
"AKAP17A"	264
"AKAP2"	1111
"AKAP3"	132
"AKAP4"	0
"AKAP5"	1246
"AKAP6"	16038
"AKAP7"	675
"AKAP8"	501
"AKAP8L"	1037
"AKAP9"	9192
"AKIP1"	274
"AKIRIN1"	2004
"AKIRIN2"	870
"AKNA"	644
"AKNAD1"	21
"AKR1A1"	586
"AKR1B1"	988
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	198
"AKR1C2"	107
"AKR1C3"	134
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	0
"AKR1D1"	1
"AKR1E2"	174
"AKR7A2"	633
"AKR7A2P1"	4
"AKR7A3"	47
"AKR7L"	33
"AKT1"	1110
"AKT1S1"	485
"AKT2"	1146
"AKT3"	9891
"AKTIP"	1705
"ALAD"	2355
"ALAS1"	1050
"ALAS2"	14
"ALB"	256
"ALCAM"	7774
"ALDH16A1"	221
"ALDH18A1"	596
"ALDH1A1"	1034
"ALDH1A2"	71
"ALDH1A3"	277
"ALDH1B1"	265
"ALDH1L1"	895
"ALDH1L1-AS1"	0
"ALDH1L1-AS2"	30
"ALDH1L2"	509
"ALDH2"	2559
"ALDH3A1"	4
"ALDH3A2"	2927
"ALDH3B1"	109
"ALDH3B2"	0
"ALDH4A1"	993
"ALDH5A1"	2047
"ALDH6A1"	5129
"ALDH7A1"	2151
"ALDH8A1"	193
"ALDH9A1"	1316
"ALDOA"	10849
"ALDOB"	26
"ALDOC"	6903
"ALG1"	249
"ALG10"	224
"ALG10B"	788
"ALG11"	569
"ALG12"	367
"ALG13"	1457
"ALG14"	169
"ALG1L"	22
"ALG1L2"	4
"ALG1L9P"	146
"ALG2"	514
"ALG3"	169
"ALG5"	383
"ALG6"	388
"ALG8"	489
"ALG9"	984
"ALK"	241
"ALKAL1"	0
"ALKAL2"	38
"ALKBH1"	232
"ALKBH2"	130
"ALKBH3"	362
"ALKBH3-AS1"	1
"ALKBH4"	163
"ALKBH5"	2639
"ALKBH6"	192
"ALKBH7"	221
"ALKBH8"	395
"ALLC"	2
"ALMS1"	6359
"ALMS1-IT1"	117
"ALMS1P1"	128
"ALOX12"	2
"ALOX12-AS1"	132
"ALOX12B"	15
"ALOX12P2"	56
"ALOX15"	15
"ALOX15B"	11
"ALOX15P1"	18
"ALOX5"	287
"ALOX5AP"	218
"ALOXE3"	18
"ALPI"	0
"ALPK1"	352
"ALPK2"	3
"ALPK3"	179
"ALPL"	169
"ALPP"	0
"ALPPL2"	0
"ALS2"	2579
"ALS2CL"	116
"ALS2CR12"	208
"ALX1"	0
"ALX3"	5
"ALX4"	4
"ALYREF"	256
"AMACR"	307
"AMBN"	1
"AMBP"	10
"AMBRA1"	1281
"AMD1"	5235
"AMDHD1"	14
"AMDHD2"	235
"AMELX"	0
"AMELY"	0
"AMER1"	339
"AMER2"	22911
"AMER3"	711
"AMFR"	2887
"AMH"	24
"AMHR2"	0
"AMIGO1"	1432
"AMIGO2"	89
"AMIGO3"	43
"AMMECR1"	220
"AMMECR1L"	509
"AMN"	5
"AMN1"	963
"AMOT"	1964
"AMOTL1"	1080
"AMOTL2"	3176
"AMPD1"	0
"AMPD2"	1062
"AMPD3"	1926
"AMPH"	2750
"AMT"	111
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	35
"AMY2B"	1075
"AMZ1"	460
"AMZ2"	1540
"AMZ2P1"	605
"ANAPC1"	2251
"ANAPC10"	321
"ANAPC11"	305
"ANAPC13"	721
"ANAPC15"	172
"ANAPC16"	813
"ANAPC1P1"	2
"ANAPC2"	515
"ANAPC4"	1271
"ANAPC5"	3513
"ANAPC7"	1057
"ANG"	16
"ANGEL1"	1354
"ANGEL2"	1618
"ANGPT1"	119
"ANGPT2"	139
"ANGPT4"	2
"ANGPTL1"	33
"ANGPTL2"	997
"ANGPTL3"	1
"ANGPTL4"	872
"ANGPTL5"	6
"ANGPTL6"	34
"ANGPTL7"	1
"ANGPTL8"	2
"ANHX"	0
"ANK1"	714
"ANK2"	39254
"ANK3"	26335
"ANKAR"	607
"ANKDD1A"	458
"ANKDD1B"	25
"ANKEF1"	68
"ANKFN1"	51
"ANKFY1"	3303
"ANKH"	4724
"ANKHD1"	2188
"ANKHD1-EIF4EBP3"	2093
"ANKIB1"	6460
"ANKK1"	23
"ANKLE1"	19
"ANKLE2"	1050
"ANKMY1"	313
"ANKMY2"	1070
"ANKRA2"	410
"ANKRD1"	0
"ANKRD10"	2384
"ANKRD11"	4327
"ANKRD12"	9326
"ANKRD13A"	1559
"ANKRD13B"	693
"ANKRD13C"	1571
"ANKRD13D"	423
"ANKRD16"	300
"ANKRD17"	8025
"ANKRD18A"	2528
"ANKRD18B"	168
"ANKRD18CP"	606
"ANKRD18DP"	80
"ANKRD19P"	189
"ANKRD2"	18
"ANKRD20A1"	155
"ANKRD20A11P"	17
"ANKRD20A12P"	27
"ANKRD20A19P"	9
"ANKRD20A2"	96
"ANKRD20A3"	390
"ANKRD20A4"	231
"ANKRD20A4-ANKRD20A20P"	879
"ANKRD20A5P"	239
"ANKRD20A8P"	67
"ANKRD20A9P"	7
"ANKRD22"	39
"ANKRD23"	276
"ANKRD24"	626
"ANKRD26"	2176
"ANKRD26P1"	3
"ANKRD26P3"	130
"ANKRD27"	1130
"ANKRD28"	3440
"ANKRD29"	362
"ANKRD30A"	6
"ANKRD30B"	241
"ANKRD30BL"	279
"ANKRD30BP2"	1
"ANKRD30BP3"	0
"ANKRD31"	125
"ANKRD33"	1
"ANKRD33B"	1454
"ANKRD34A"	491
"ANKRD34B"	28
"ANKRD34C"	229
"ANKRD34C-AS1"	24
"ANKRD35"	155
"ANKRD36"	7987
"ANKRD36B"	3435
"ANKRD36BP1"	0
"ANKRD36BP2"	397
"ANKRD36C"	6969
"ANKRD37"	230
"ANKRD39"	159
"ANKRD40"	7114
"ANKRD42"	617
"ANKRD44"	1395
"ANKRD44-IT1"	156
"ANKRD45"	151
"ANKRD46"	1685
"ANKRD49"	266
"ANKRD50"	1387
"ANKRD52"	1805
"ANKRD53"	0
"ANKRD54"	323
"ANKRD55"	32
"ANKRD6"	564
"ANKRD60"	0
"ANKRD61"	3
"ANKRD62"	77
"ANKRD62P1-PARP4P3"	7
"ANKRD63"	63
"ANKRD65"	475
"ANKRD66"	1
"ANKRD7"	42
"ANKRD9"	461
"ANKS1A"	1011
"ANKS1B"	6952
"ANKS3"	230
"ANKS4B"	2
"ANKS6"	809
"ANKUB1"	6
"ANKZF1"	514
"ANLN"	18564
"ANO1"	32
"ANO1-AS2"	0
"ANO10"	661
"ANO2"	66
"ANO3"	1094
"ANO4"	2526
"ANO5"	2097
"ANO6"	940
"ANO7"	77
"ANO8"	686
"ANO9"	0
"ANOS1"	915
"ANP32A"	2615
"ANP32A-IT1"	174
"ANP32AP1"	1
"ANP32B"	2554
"ANP32C"	80
"ANP32D"	4
"ANP32E"	2050
"ANPEP"	15
"ANTXR1"	1473
"ANTXR2"	171
"ANTXRL"	6
"ANTXRLP1"	3
"ANXA1"	429
"ANXA10"	0
"ANXA11"	1097
"ANXA13"	19
"ANXA2"	531
"ANXA2P1"	4
"ANXA2P2"	0
"ANXA2P3"	15
"ANXA2R"	17
"ANXA3"	215
"ANXA4"	683
"ANXA5"	1899
"ANXA6"	3781
"ANXA7"	2150
"ANXA8"	1
"ANXA8L1"	2
"ANXA9"	5
"AOAH"	177
"AOAH-IT1"	11
"AOC1"	1
"AOC2"	67
"AOC3"	15
"AOC4P"	1
"AOX1"	78
"AOX3P-AOX2P"	2
"AP1AR"	645
"AP1B1"	2084
"AP1B1P1"	0
"AP1G1"	4100
"AP1G2"	331
"AP1M1"	1133
"AP1M2"	3
"AP1S1"	564
"AP1S2"	1227
"AP1S3"	101
"AP2A1"	2399
"AP2A2"	1996
"AP2B1"	10919
"AP2M1"	4910
"AP2S1"	717
"AP3B1"	1889
"AP3B2"	1293
"AP3D1"	2677
"AP3M1"	1279
"AP3M2"	2237
"AP3S1"	1101
"AP3S2"	948
"AP4B1"	648
"AP4B1-AS1"	4
"AP4E1"	816
"AP4M1"	159
"AP4S1"	771
"AP5B1"	608
"AP5M1"	1446
"AP5S1"	164
"AP5Z1"	390
"APAF1"	783
"APBA1"	3849
"APBA2"	2924
"APBA3"	209
"APBB1"	5279
"APBB1IP"	517
"APBB2"	5705
"APBB3"	477
"APC"	17411
"APC2"	7963
"APCDD1"	448
"APCDD1L"	0
"APCDD1L-AS1"	2
"APCS"	2
"APEH"	708
"APELA"	1
"APEX1"	813
"APEX2"	158
"APH1A"	787
"APH1B"	1131
"API5"	3860
"APIP"	567
"APLF"	478
"APLN"	402
"APLNR"	2601
"APLP1"	22228
"APLP2"	9012
"APMAP"	1303
"APOA1"	21
"APOA1-AS"	1
"APOA2"	9
"APOA4"	0
"APOA5"	1
"APOB"	144
"APOBEC1"	0
"APOBEC2"	0
"APOBEC3A"	1
"APOBEC3A_B"	1
"APOBEC3B"	0
"APOBEC3B-AS1"	0
"APOBEC3C"	36
"APOBEC3D"	8
"APOBEC3F"	22
"APOBEC3G"	54
"APOBEC3H"	1
"APOBEC4"	0
"APOBR"	62
"APOC1"	167
"APOC1P1"	2
"APOC2"	75
"APOC3"	4
"APOC4"	1
"APOC4-APOC2"	77
"APOD"	4864
"APOE"	4318
"APOF"	1
"APOH"	6
"APOL1"	113
"APOL2"	1229
"APOL3"	117
"APOL4"	90
"APOL5"	1
"APOL6"	1070
"APOLD1"	2075
"APOM"	18
"APOO"	384
"APOOL"	1741
"APOOP5"	0
"APOPT1"	388
"APP"	37655
"APPBP2"	3803
"APPL1"	3489
"APPL2"	1275
"APRT"	192
"APTR"	162
"APTX"	611
"AQP1"	3369
"AQP10"	0
"AQP11"	106
"AQP12A"	0
"AQP12B"	0
"AQP2"	0
"AQP3"	8
"AQP4"	18117
"AQP4-AS1"	115
"AQP5"	6
"AQP6"	24
"AQP7"	9
"AQP7P1"	23
"AQP7P3"	7
"AQP8"	3
"AQP9"	38
"AQR"	1848
"AR"	194
"ARAF"	383
"ARAP1"	1434
"ARAP1-AS2"	0
"ARAP2"	15673
"ARAP3"	107
"ARC"	137
"ARCN1"	3428
"AREG"	0
"AREL1"	1376
"ARF1"	3663
"ARF3"	7294
"ARF4"	1198
"ARF4-AS1"	43
"ARF5"	914
"ARF6"	1086
"ARFGAP1"	1004
"ARFGAP2"	1506
"ARFGAP3"	880
"ARFGEF1"	4086
"ARFGEF2"	4568
"ARFGEF3"	12002
"ARFIP1"	909
"ARFIP2"	570
"ARFRP1"	435
"ARG1"	10
"ARG2"	150
"ARGFX"	0
"ARGFXP2"	1
"ARGLU1"	3678
"ARHGAP1"	2089
"ARHGAP10"	329
"ARHGAP11A"	178
"ARHGAP11B"	23
"ARHGAP12"	2261
"ARHGAP15"	95
"ARHGAP17"	946
"ARHGAP18"	263
"ARHGAP19"	496
"ARHGAP19-SLIT1"	210
"ARHGAP20"	1040
"ARHGAP21"	24153
"ARHGAP22"	1173
"ARHGAP22-IT1"	58
"ARHGAP23"	8399
"ARHGAP24"	293
"ARHGAP25"	204
"ARHGAP26"	5303
"ARHGAP26-AS1"	0
"ARHGAP26-IT1"	65
"ARHGAP27"	358
"ARHGAP27P1"	208
"ARHGAP27P1-BPTFP1-KPNA2P3"	630
"ARHGAP27P2"	5
"ARHGAP28"	99
"ARHGAP29"	1361
"ARHGAP30"	209
"ARHGAP31"	849
"ARHGAP31-AS1"	1
"ARHGAP32"	10010
"ARHGAP33"	884
"ARHGAP35"	7053
"ARHGAP36"	5
"ARHGAP39"	1069
"ARHGAP4"	281
"ARHGAP40"	1
"ARHGAP42"	416
"ARHGAP44"	1382
"ARHGAP45"	316
"ARHGAP5"	15781
"ARHGAP5-AS1"	81
"ARHGAP6"	146
"ARHGAP8"	8
"ARHGAP9"	106
"ARHGDIA"	2558
"ARHGDIB"	585
"ARHGDIG"	538
"ARHGEF1"	828
"ARHGEF10"	2722
"ARHGEF10L"	611
"ARHGEF11"	2609
"ARHGEF12"	10557
"ARHGEF15"	46
"ARHGEF16"	84
"ARHGEF17"	2057
"ARHGEF18"	1513
"ARHGEF19"	19
"ARHGEF2"	4711
"ARHGEF25"	1040
"ARHGEF26"	690
"ARHGEF26-AS1"	198
"ARHGEF28"	479
"ARHGEF3"	1734
"ARHGEF3-AS1"	0
"ARHGEF33"	177
"ARHGEF34P"	13
"ARHGEF35"	6
"ARHGEF37"	2718
"ARHGEF38"	1
"ARHGEF38-IT1"	0
"ARHGEF39"	4
"ARHGEF4"	2136
"ARHGEF40"	801
"ARHGEF5"	36
"ARHGEF6"	1484
"ARHGEF7"	6284
"ARHGEF7-AS1"	0
"ARHGEF7-AS2"	18
"ARHGEF9"	4720
"ARHGEF9-IT1"	26
"ARID1A"	3577
"ARID1B"	3176
"ARID2"	2215
"ARID3A"	106
"ARID3B"	111
"ARID3C"	21
"ARID4A"	2433
"ARID4B"	4328
"ARID5A"	255
"ARID5B"	4242
"ARIH1"	3110
"ARIH2"	2278
"ARIH2OS"	27
"ARL1"	2259
"ARL10"	487
"ARL11"	31
"ARL13A"	0
"ARL13B"	445
"ARL14"	0
"ARL14EP"	874
"ARL14EPL"	0
"ARL15"	463
"ARL16"	236
"ARL17A"	668
"ARL17B"	643
"ARL2"	598
"ARL2-SNX15"	556
"ARL2BP"	1109
"ARL3"	1056
"ARL4A"	686
"ARL4C"	1213
"ARL4D"	82
"ARL5A"	1294
"ARL5B"	1454
"ARL5C"	0
"ARL6"	929
"ARL6IP1"	7748
"ARL6IP4"	1130
"ARL6IP5"	4096
"ARL6IP6"	371
"ARL8A"	2431
"ARL8B"	4611
"ARL9"	19
"ARMC1"	1933
"ARMC10"	1097
"ARMC12"	14
"ARMC2"	394
"ARMC2-AS1"	0
"ARMC3"	67
"ARMC4"	19
"ARMC4P1"	13
"ARMC5"	249
"ARMC6"	313
"ARMC7"	119
"ARMC8"	1864
"ARMC9"	614
"ARMCX1"	561
"ARMCX2"	1004
"ARMCX3"	3184
"ARMCX4"	1591
"ARMCX5"	391
"ARMCX5-GPRASP2"	2544
"ARMCX6"	261
"ARMS2"	1
"ARMT1"	672
"ARNT"	1347
"ARNT2"	7755
"ARNTL"	878
"ARNTL2"	695
"ARNTL2-AS1"	0
"ARPC1A"	1273
"ARPC1B"	302
"ARPC2"	1906
"ARPC3"	1504
"ARPC4"	930
"ARPC4-TTLL3"	609
"ARPC5"	2125
"ARPC5L"	587
"ARPIN"	953
"ARPP19"	14833
"ARPP21"	3318
"ARR3"	0
"ARRB1"	3971
"ARRB2"	746
"ARRDC1"	126
"ARRDC1-AS1"	190
"ARRDC2"	2637
"ARRDC3"	3577
"ARRDC3-AS1"	26
"ARRDC4"	2136
"ARRDC5"	9
"ARSA"	464
"ARSB"	586
"ARSD"	209
"ARSD-AS1"	12
"ARSE"	18
"ARSF"	21
"ARSG"	226
"ARSH"	1
"ARSI"	81
"ARSJ"	124
"ARSK"	229
"ART1"	0
"ART3"	216
"ART4"	3
"ART5"	0
"ARTN"	7
"ARV1"	376
"ARVCF"	350
"ARX"	149
"AS-PTPRE"	0
"AS3MT"	117
"ASAH1"	2631
"ASAH2"	20
"ASAH2B"	173
"ASAP1"	3349
"ASAP1-IT1"	59
"ASAP1-IT2"	61
"ASAP2"	1558
"ASAP3"	547
"ASB1"	1740
"ASB10"	0
"ASB11"	1
"ASB12"	2
"ASB13"	434
"ASB14"	6
"ASB15"	0
"ASB16"	1
"ASB16-AS1"	89
"ASB17"	0
"ASB18"	8
"ASB2"	57
"ASB3"	521
"ASB4"	72
"ASB5"	9
"ASB6"	519
"ASB7"	597
"ASB8"	761
"ASB9"	2
